status,longitude,latitude,house_type,beds,baths,full_baths,price_reduced,new_construction,foreclosure,plans,new_listing,is_coming_soon,is_contingent,is_pending,price_reduced_amount,days_since_last_sold,days_since_list_date,last_sold_prices,list_prices
0,-121.911966,37.759512,single_family,4,4,3,0,0,0,0,1,0,0,0,,75,0,1530000,1490000
0,-121.942802,37.77301,single_family,3,2,2,1,0,0,0,1,0,0,0,55000,5,0,1534000,1595000
0,-121.888626,37.762015,single_family,4,3,3,1,0,0,0,1,0,0,1,90000,6564,0,893000,2088000
0,-121.907356,37.77306,single_family,3,3,2,1,0,0,0,1,0,0,0,49000,133,0,2000000,1799000
0,-121.923378,37.768906,single_family,4,4,3,1,0,0,0,1,0,0,0,10000,27,0,1851000,1888000
0,-121.943263,37.761303,condos,2,2,2,0,0,0,0,1,0,0,0,,91,0,860000,799000
0,-121.952566,37.785923,townhomes,3,3,2,0,0,0,0,1,0,0,0,,71,0,910000,899000
0,-121.895956,37.763863,single_family,5,3,3,1,0,0,0,1,0,0,0,100000,61,0,1480000,1495000
0,-121.955626,37.78409,single_family,4,3,2,1,0,0,0,1,0,0,1,160000,2549,0,950000,2169888
0,-121.924618,37.78846,townhomes,2,3,2,0,0,0,0,1,0,0,0,,89,0,1120000,1149800
0,-121.913259,37.765118,condos,4,4,4,0,0,0,0,1,0,0,0,,68,0,1300000,1299000
0,-121.89458,37.761217,single_family,5,6,5,1,0,0,0,1,0,0,0,200112,22,0,2475000,2599888
0,-121.933692,37.777822,single_family,4,5,4,1,0,0,0,1,0,0,1,199100,2718,0,2300000,3499900
0,-121.925431,37.789095,townhomes,3,3,2,1,0,0,0,1,0,0,0,999,75,0,1235000,1299000
0,-121.896706,37.762072,single_family,5,4,4,0,0,0,0,1,0,0,0,,61,0,2375000,2399000
0,-121.948155,37.771423,single_family,3,3,2,1,0,0,0,1,0,0,0,251000,82,0,1075000,999000
0,-121.943782,37.772019,condos,1,1,1,1,0,0,0,1,0,0,0,26900,37,0,530000,499000
0,-121.918514,37.758928,single_family,4,5,4,1,0,0,0,1,0,0,0,245000,92,0,2700000,2650000
0,-121.940134,37.777314,single_family,4,4,3,0,0,0,0,1,0,0,0,,99,0,2975000,2999000
0,-121.944046,37.772751,condos,1,1,1,0,0,0,0,1,0,0,0,,90,0,537000,520000
0,-121.951718,37.780124,condos,2,2,2,0,0,0,0,1,0,0,0,,89,0,875000,798000
0,-121.922793,37.775937,townhomes,4,3,2,1,0,0,0,1,0,0,0,87000,62,0,1250000,1298000
0,-121.945808,37.766895,condos,2,2,2,0,0,0,0,1,0,0,0,,215,0,785000,699000
0,-121.917808,37.741279,single_family,4,3,3,0,0,0,0,1,0,0,0,,92,0,2170000,1949800
